,Display,EMI,Name,Price,Ram,Special Price,Warrenty
0,15.6 inch Display,No Cost EMI,Acer Aspire 3 Pentium Quad Core - (4 GB/500 GB HDD/Windows 10) A315-31 Notebook,"₹21,990",4 GB DDR3 RAM,,1 Year International Travelers Warranty (ITW)
1,15.6 inch Display,No Cost EMI,Acer Aspire 3 Pentium Quad Core - (4 GB/500 GB HDD/Linux) A315-31 Laptop,"₹18,990",4 GB DDR3 RAM,,1 Year International Travelers Warranty (ITW)
2,14 inch Display,No Cost EMI,Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Linux) 3467 Laptop,"₹25,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
3,15.6 inch Display,No Cost EMI,Dell Vostro 3000 Core i5 7th Gen - (8 GB/1 TB HDD/Ubuntu/2 GB Graphics) 3568 Laptop,"₹40,990",8 GB DDR4 RAM,,1 Year Onsite Warranty
4,15.6 inch Display,,HP 15 Core i5 8th Gen - (8 GB/1 TB HDD/DOS) 15-BS145TU Laptop,"₹38,990",8 GB DDR4 RAM,,1 Year Onsite Warranty
5,15.6 inch Display,No Cost EMI,Lenovo Ideapad Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) IP 320 Laptop,"₹44,990",8 GB DDR4 RAM,,1 Year Onsite Warranty
6,15.6 inch Display,No Cost EMI,HP 15 APU Dual Core E2 - (4 GB/500 GB HDD/DOS) 15Q-BY001AU Laptop,"₹17,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
7,15.6 inch Display,No Cost EMI,HP 15 Pentium Quad Core - (4 GB/1 TB HDD/DOS) 15Q-BU009TU Laptop,"₹21,990",4 GB DDR3 RAM,,1 Year Onsite Warranty
8,14 inch Display,No Cost EMI,Dell Inspiron 14 3000 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3467 Laptop,"₹29,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
9,15.6 inch Display,,Lenovo Ideapad 520 Core i7 7th Gen - (8 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) IP 520 Laptop,"₹60,990",8 GB DDR4 RAM,Special Price,1 Year Onsite Warranty
10,13.3 inch Display,No Cost EMI,Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,"₹57,990",8 GB DDR3 RAM,,1 Year Warranty
11,15.6 inch Display,No Cost EMI,Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) IP 320E Laptop,"₹40,990",8 GB DDR4 RAM,,1 Year Onsite Warranty
12,15.6 inch Display,No Cost EMI,Lenovo Ideapad Core i3 6th Gen - (4 GB/1 TB HDD/DOS) IP 320E Laptop,"₹25,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
13,15.6 inch Display,No Cost EMI,HP 15 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15Q-bu013TU Laptop,"₹29,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
14,15.6 inch Display,No Cost EMI,Lenovo Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) IP 320E Laptop,"₹29,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
15,15.6 inch Display,No Cost EMI,HP 15 Core i3 6th Gen - (8 GB/1 TB HDD/DOS) 15Q-BU006TU Laptop,"₹30,990",8 GB DDR4 RAM,,1 Year Onsite Warranty
16,15.6 inch Display,,Acer Nitro 5 Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/2 GB Graphics) AN515-51 Gamin...,"₹55,990",8 GB DDR4 RAM,Special Price,1 Year International Travelers Warranty (ITW)
17,15.6 inch Display,No Cost EMI,Acer Aspire 3 Celeron Dual Core - (2 GB/500 GB HDD/Linux) A315-31 Laptop,"₹15,990",2 GB DDR3 RAM,,1 Year International Travelers Warranty (ITW)
18,15.6 inch Display,No Cost EMI,HP APU Dual Core A9 - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15q-by002AX Laptop,"₹24,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
19,15.6 inch Display,No Cost EMI,HP 15 Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 15Q-BU007TU Laptop,"₹26,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
20,15.6 inch Display,No Cost EMI,Dell Inspiron APU Dual Core A9 7th Gen - (6 GB/1 TB HDD/Windows 10 Home) 3565 Laptop,"₹28,990",6 GB DDR4 RAM,,1 Year Onsite Warranty
21,10.1 inch Touchscreen Display,No Cost EMI,Acer Switch One Atom Quad Core - (2 GB/32 GB EMMC Storage/Windows 10 Home) SW110-1CT 2 in 1 Laptop,"₹12,490",2 GB DDR3 RAM,,1 Year Onsite Warranty
22,14 inch Touchscreen Display,No Cost EMI,Lenovo APU Dual Core A9 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) Yoga 510 2 in 1 Laptop,"₹27,990",4 GB DDR4 RAM,,1 Year Onsite Warranty
23,15.6 inch Display,No Cost EMI,Dell Inspiron Pentium Quad Core - (4 GB/500 GB HDD/Ubuntu) 3552 Notebook,"₹19,990",4 GB DDR3 RAM,,1 Year Onsite Warranty
24,15.6 inch Display,No Cost EMI,Acer Aspire 3 Pentium Quad Core - (4 GB/500 GB HDD/Windows 10) A315-31 Notebook,"₹21,990",4 GB DDR3 RAM,,1 Year International Travelers Warranty (ITW)
25,15.6 inch Display,No Cost EMI,Acer Aspire 3 Pentium Quad Core - (4 GB/500 GB HDD/Linux) A315-31 Laptop,"₹18,990",4 GB DDR3 RAM,,1 Year International Travelers Warranty (ITW)
